Seed,n,m,eps,gamma,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Kosten Newton,Kosten Simplex
0,256,256,1,0.0001,121,0.2616830999031663,0.0010974955279547775,1.756732285592983,0.769238424726431,2.525970710319414
1,256,256,1,0.0001,114,0.24497180012986064,0.0011277110917706917,6.08642854966007,0.728836074246924,6.8152646239069945
2,256,256,1,0.0001,113,0.28867070004343987,0.001148847849993812,1.756860121887766,0.7376961161049167,2.4945562379926827
3,256,256,1,0.0001,107,0.21579589997418225,0.0009531486597468197,2.2590687968972594,0.6718094553668508,2.93087825226411
4,256,256,1,0.0001,108,0.23610880016349256,0.0012604720536209119,5.8526598969360535,0.5868503899539073,6.439510286889961
5,256,256,1,0.0001,120,0.30384849989786744,0.0007996566821352833,1.4830325634981563,0.6774012025789888,2.160433766077145
6,256,256,1,0.0001,107,0.28155010007321835,0.0008883845866137089,3.2065195356553824,0.7406599548200505,3.947179490475433
7,256,256,1,0.0001,95,0.23181729996576905,0.0010842426383662496,3.385225396968176,0.5587263442414803,3.943951741209656
8,256,256,1,0.0001,115,0.2933682999573648,0.001037035611397139,1.291578961739227,0.7491927983278643,2.0407717600670914
9,256,256,1,0.0001,123,0.30735619994811714,0.0010601890272228633,3.146970170888123,0.6291926884309413,3.776162859319064
0,256,256,1,5e-05,129,0.3345278000924736,0.0007645479997662585,1.5705463119940615,0.9554243983253525,2.525970710319414
1,256,256,1,5e-05,153,0.3900911998935044,0.0009128523552561912,5.9326866271588585,0.8825779967481362,6.8152646239069945
2,256,256,1,5e-05,173,0.4102626000531018,0.0007336171540314722,1.537346786131718,0.9572094518609646,2.4945562379926827
3,256,256,1,5e-05,153,0.39227409986779094,0.0006725992382240536,2.0807316922546866,0.8501465600094231,2.93087825226411
4,256,256,1,5e-05,159,0.4059942001476884,0.0009396630336797746,5.65314689437955,0.7863633925104103,6.439510286889961
5,256,256,1,5e-05,175,0.4799744999036193,0.0005670871411746579,1.2855989690166216,0.8748347970605235,2.160433766077145
6,256,256,1,5e-05,165,0.48937409999780357,0.0005886904396843811,3.0113000869393973,0.9358794035360358,3.947179490475433
7,256,256,1,5e-05,148,0.41988339996896684,0.0008735341916089479,3.254039378306218,0.689912362903438,3.943951741209656
8,256,256,1,5e-05,151,0.41987650003284216,0.0006719964524397803,1.0390447015122095,1.0017270585548819,2.0407717600670914
9,256,256,1,5e-05,155,0.4317513001151383,0.0007434644172378546,2.894309783579666,0.8818530757393981,3.776162859319064
0,256,256,1,1e-05,241,0.7045695001725107,0.0002498158073160391,0.9682768288276495,1.5576938814917645,2.525970710319414
1,256,256,1,1e-05,266,0.7853353000245988,0.0004860160552501609,5.44664735384598,1.368617270061015,6.8152646239069945
2,256,256,1,1e-05,288,0.8385306999552995,0.0002801455971658722,0.9384021073921924,1.5561541306004902,2.4945562379926827
3,256,256,1,1e-05,285,0.7941919998265803,0.0002704830176271161,1.62122660620856,1.3096516460555498,2.93087825226411
