Seed,n,m,eps,gamma,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Kosten Newton,Kosten Simplex
0,128,128,1,0.0001,118,0.15986719983629882,0.0012555892435274765,1.3023383426700206,0.947570435947259,2.2499087786172796
1,128,128,1,0.0001,92,0.1250215999316424,0.000887740988939744,0.8761761675859061,1.0088421908085454,1.8850183583944515
2,128,128,1,0.0001,86,0.12983780005015433,0.0010301097402812525,1.2792914347274749,0.7344818147853804,2.0137732495128553
3,128,128,1,0.0001,90,0.13767039985395968,0.001612557817762276,3.314745743078849,1.0799187192253998,4.394664462304249
4,128,128,1,0.0001,84,0.11592410015873611,0.0010534366935072929,1.6098522146092709,0.9773084982354581,2.587160712844729
5,128,128,1,0.0001,86,0.1355026001110673,0.0011292617979516782,1.6885919954186772,0.9400081383437142,2.6286001337623914
6,128,128,1,0.0001,89,0.11603730008937418,0.001512344315136964,5.461266817049146,0.887350103172625,6.348616920221771
7,128,128,1,0.0001,87,0.1173515000846237,0.0009532628444086661,1.3316610648393354,0.8501390915783411,2.1818001564176766
8,128,128,1,0.0001,95,0.12809480004943907,0.0008823033827207744,0.6644049539598671,0.9113705069780382,1.5757754609379053
9,128,128,1,0.0001,105,0.15333790006116033,0.001874911478158386,3.3490743479735645,1.0480136394846278,4.3970879874581925
0,128,128,1,5e-05,119,0.16230550012551248,0.0008240120773546893,1.0455700617037484,1.2043387169135311,2.2499087786172796
1,128,128,1,5e-05,116,0.15856290003284812,0.0005869833023758025,0.6688240812367539,1.2161942771576977,1.8850183583944515
2,128,128,1,5e-05,107,0.14560310007072985,0.0006978938520075511,1.131842834169331,0.8819304153435243,2.0137732495128553
3,128,128,1,5e-05,126,0.17657420015893877,0.001190999084710224,3.0070636527685437,1.387600809535705,4.394664462304249
4,128,128,1,5e-05,128,0.1761151000391692,0.0008104788436097254,1.3991901706818033,1.1879705421629256,2.587160712844729
