Seed,n,m,eps,gamma,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Kosten Newton,Kosten Simplex
0,512,512,1,0.0001,111,2.8313726000487804,0.0007756565515342662,2.607511782064588,0.5468903801943268,3.154402162258915
1,512,512,1,0.0001,111,2.7052209998946637,0.0006927123045904603,3.8663516371816136,0.5293261415760813,4.395677778757695
2,512,512,1,0.0001,95,1.908539299853146,0.0006985575624542254,6.243292611235946,0.5114628171674309,6.754755428403376
3,512,512,1,0.0001,98,2.4439522998873144,0.0006254058802957949,3.202587034529114,0.4904042385833385,3.692991273112453
4,512,512,1,0.0001,99,2.61416899994947,0.0008424156475822222,5.523655072739864,0.49440149302759506,6.018056565767458
5,512,512,1,0.0001,98,2.6681911000050604,0.0006868025234347168,2.0881231498334767,0.5090772264228303,2.597200376256307
6,512,512,1,0.0001,100,1.9952233000658453,0.0006934724472527727,4.531090466708052,0.4604303311165765,4.991520797824628
7,512,512,1,0.0001,93,2.1175637000706047,0.0006402044368283692,3.3070413089748008,0.492764385623393,3.7998056945981937
8,512,512,1,0.0001,110,2.160984099842608,0.000670300820765858,3.4485838585006654,0.509665944541857,3.958249803042522
9,512,512,1,0.0001,98,2.07219299999997,0.0006337950009086728,4.303436623692395,0.47711441219706585,4.780551035889461
0,512,512,1,5e-05,194,3.8421858998481184,0.0006672665867715655,2.4095136811029585,0.7448884811559564,3.154402162258915
1,512,512,1,5e-05,187,3.657753200037405,0.0004861408547091081,3.690135946232727,0.7055418325249678,4.395677778757695
2,512,512,1,5e-05,184,3.643689400050789,0.0005063171092624533,6.076037405966001,0.6787180224373757,6.754755428403376
3,512,512,1,5e-05,168,4.611078100046143,0.0004767683195353498,3.0619434687632947,0.6310478043491581,3.692991273112453
4,512,512,1,5e-05,177,5.488653099862859,0.0006436486048636467,5.385175690287891,0.6328808754795676,6.018056565767458
5,512,512,1,5e-05,212,6.76409379998222,0.0005182076370924258,1.9136919899664289,0.6835083862898781,2.597200376256307
6,512,512,1,5e-05,186,5.327314999885857,0.0004777462945303205,4.381431698535597,0.6100890992890304,4.991520797824628
7,512,512,1,5e-05,200,5.052261200034991,0.000503617523482575,3.153479568051876,0.6463261265463176,3.7998056945981937
8,512,512,1,5e-05,175,4.8027886999771,0.000486410643423097,3.2927358393965123,0.6655139636460099,3.958249803042522
9,512,512,1,5e-05,191,4.487979399971664,0.0005099168215398631,4.151776453593218,0.628774582296243,4.780551035889461
0,512,512,1,1e-05,435,11.602023599902168,0.00024606432636113673,1.8034997833486728,1.3509023789102421,3.154402162258915
1,512,512,1,1e-05,363,9.529929299838841,0.0002440702511320161,3.213515294594641,1.182162484163054,4.395677778757695
2,512,512,1,1e-05,449,12.04848670004867,0.0002081347776140977,5.407598104388684,1.3471573240146926,6.754755428403376
3,512,512,1,1e-05,395,9.39440909982659,0.00023685939622698077,2.619783011002247,1.0732082621102055,3.692991273112453
4,512,512,1,1e-05,348,10.221200700150803,0.00023515671431818515,4.932312044827319,1.0857445209401388,6.018056565767458
5,512,512,1,1e-05,401,13.086901100119576,0.00020493270510657394,1.4615690771162992,1.1356312991400077,2.597200376256307
6,512,512,1,1e-05,410,12.746518000029027,0.00023717371981221962,3.9181950030514088,1.0733257947732193,4.991520797824628
7,512,512,1,1e-05,392,10.590867599938065,0.00023255190654901045,2.6206184697152515,1.1791872248829423,3.7998056945981937
8,512,512,1,1e-05,382,11.606975500006229,0.00019526506421769846,2.9247115543945275,1.0335382486479947,3.958249803042522
9,512,512,1,1e-05,443,14.285227000014856,0.00022633932553526312,3.5442143326014115,1.2363367032880495,4.780551035889461
0,512,512,1,1e-06,646,19.63000680017285,5.05528795505519e-05,0.7408292569359749,2.41357290532294,3.154402162258915
1,512,512,1,1e-06,647,17.653426500037313,7.40385931423857e-05,2.594664345685633,1.8010134330720617,4.395677778757695
2,512,512,1,1e-06,707,19.739734600065276,9.28388788931085e-05,4.6497766112587176,2.104978817144658,6.754755428403376
3,512,512,1,1e-06,727,19.81438839994371,5.9873963343937825e-05,1.5391977076200596,2.153793565492393,3.692991273112453
4,512,512,1,1e-06,767,21.015831199940294,8.75685408152087e-05,3.5223120429580668,2.4957445228093915,6.018056565767458
5,512,512,1,1e-06,630,21.88027169997804,4.543548329183052e-05,0.9370013542141769,1.66019902204213,2.597200376256307
6,512,512,1,1e-06,739,25.128258700016886,7.597746463451844e-05,1.8849604756278238,3.1065603221968043,4.991520797824628
7,512,512,1,1e-06,744,26.00069360015914,7.400636787744351e-05,1.5750455314496143,2.2247601631485794,3.7998056945981937
8,512,512,1,1e-06,710,25.337245700182393,6.685517673361624e-05,2.1432477609761396,1.8150020420663824,3.958249803042522
9,512,512,1,1e-06,772,24.073908899910748,6.639561964408552e-05,2.521894787334636,2.2586562485548254,4.780551035889461
0,512,512,1,5e-07,663,22.49724530009553,2.894425178875861e-05,0.4986802022369359,2.655721960021979,3.154402162258915
